timestamp,found_marker_id,found_marker_index,found_marker_data,marker1_data,marker2_data,marker3_data,marker4_data,marker5_data
1687838939.7307851,669,0,"(72.2431411743164, 63.99658203125, 493.64453125)","(72.2431411743164, 63.99658203125, 493.64453125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.738597,669,0,"(72.06114959716797, 64.17023468017578, 493.46368408203125)","(72.06114959716797, 64.17023468017578, 493.46368408203125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.7471676,669,0,"(71.7899398803711, 64.32086181640625, 493.2953796386719)","(71.7899398803711, 64.32086181640625, 493.2953796386719)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.755213,669,0,"(71.40648651123047, 64.42823791503906, 493.1615295410156)","(71.40648651123047, 64.42823791503906, 493.1615295410156)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.7641144,669,0,"(70.91671752929688, 64.50084686279297, 493.017333984375)","(70.91671752929688, 64.50084686279297, 493.017333984375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.772257,669,0,"(70.32022857666016, 64.54329681396484, 492.8795166015625)","(70.32022857666016, 64.54329681396484, 492.8795166015625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.7808807,669,0,"(69.6513671875, 64.57133483886719, 492.7099914550781)","(69.6513671875, 64.57133483886719, 492.7099914550781)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.7888186,669,0,"(68.94731140136719, 64.5953598022461, 492.5067443847656)","(68.94731140136719, 64.5953598022461, 492.5067443847656)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.7974834,669,0,"(68.24874877929688, 64.62703704833984, 492.3011169433594)","(68.24874877929688, 64.62703704833984, 492.3011169433594)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.8054016,669,0,"(67.61687469482422, 64.66766357421875, 492.05926513671875)","(67.61687469482422, 64.66766357421875, 492.05926513671875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.8137975,669,0,"(67.06156158447266, 64.68878936767578, 491.7983093261719)","(67.06156158447266, 64.68878936767578, 491.7983093261719)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.8223498,669,0,"(66.60066223144531, 64.684326171875, 491.5064697265625)","(66.60066223144531, 64.684326171875, 491.5064697265625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
