timestamp,marker1_data,marker2_data,marker3_data,marker4_data,marker5_data,found_marker_id,found_marker_index,found_marker_data
1687833247.1627011,"(0, 0, 0)","(0, 0, 0)","(7.88187313079834, 52.222957611083984, 542.1278686523438)","(0, 0, 0)","(0, 0, 0)",670,2,"(7.88187313079834, 52.222957611083984, 542.1278686523438)"
1687833247.1709278,"(0, 0, 0)","(0, 0, 0)","(7.915966510772705, 52.65685272216797, 542.34375)","(0, 0, 0)","(0, 0, 0)",670,2,"(7.915966510772705, 52.65685272216797, 542.34375)"
1687833247.179216,"(0, 0, 0)","(0, 0, 0)","(7.942676067352295, 53.056793212890625, 542.5518188476562)","(0, 0, 0)","(0, 0, 0)",670,2,"(7.942676067352295, 53.056793212890625, 542.5518188476562)"
1687833247.1877153,"(0, 0, 0)","(0, 0, 0)","(7.964496612548828, 53.4449577331543, 542.7435302734375)","(0, 0, 0)","(0, 0, 0)",670,2,"(7.964496612548828, 53.4449577331543, 542.7435302734375)"
1687833247.1963522,"(0, 0, 0)","(0, 0, 0)","(7.9546895027160645, 53.82013702392578, 542.9124755859375)","(0, 0, 0)","(0, 0, 0)",670,2,"(7.9546895027160645, 53.82013702392578, 542.9124755859375)"
1687833247.2044647,"(0, 0, 0)","(0, 0, 0)","(7.883459091186523, 54.18380355834961, 543.0826416015625)","(0, 0, 0)","(0, 0, 0)",670,2,"(7.883459091186523, 54.18380355834961, 543.0826416015625)"
1687833247.2133477,"(0, 0, 0)","(0, 0, 0)","(7.748713970184326, 54.52799606323242, 543.235595703125)","(0, 0, 0)","(0, 0, 0)",670,2,"(7.748713970184326, 54.52799606323242, 543.235595703125)"
1687833247.2207942,"(0, 0, 0)","(0, 0, 0)","(7.536792278289795, 54.84762191772461, 543.3963012695312)","(0, 0, 0)","(0, 0, 0)",670,2,"(7.536792278289795, 54.84762191772461, 543.3963012695312)"
1687833247.2293339,"(0, 0, 0)","(0, 0, 0)","(7.244718074798584, 55.153480529785156, 543.5803833007812)","(0, 0, 0)","(0, 0, 0)",670,2,"(7.244718074798584, 55.153480529785156, 543.5803833007812)"
1687833247.237813,"(0, 0, 0)","(0, 0, 0)","(6.913735866546631, 55.4623908996582, 543.767578125)","(0, 0, 0)","(0, 0, 0)",670,2,"(6.913735866546631, 55.4623908996582, 543.767578125)"
1687833247.2462382,"(0, 0, 0)","(0, 0, 0)","(6.562037467956543, 55.7969970703125, 543.9685668945312)","(0, 0, 0)","(0, 0, 0)",670,2,"(6.562037467956543, 55.7969970703125, 543.9685668945312)"
1687833247.2543595,"(0, 0, 0)","(0, 0, 0)","(6.180426597595215, 56.149017333984375, 544.1604614257812)","(0, 0, 0)","(0, 0, 0)",670,2,"(6.180426597595215, 56.149017333984375, 544.1604614257812)"
1687833247.2631817,"(0, 0, 0)","(0, 0, 0)","(5.746367454528809, 56.517879486083984, 544.3447265625)","(0, 0, 0)","(0, 0, 0)",670,2,"(5.746367454528809, 56.517879486083984, 544.3447265625)"
